model,rule_count,uhap_median_ms,uhap_p95_ms,uhap_n,trad_median_ms,trad_p95_ms,trad_n,speedup
rbac,5,0.000842,0.000882,1000,0.000812,0.000861,1000,0.9643705463182898
rbac,10,0.000861,0.000902,1000,0.000692,0.000731,1000,0.8037166085946574
rbac,20,0.000842,0.0008924499999999996,1000,0.000852,0.000892,1000,1.01187648456057
rbac,40,0.000901,0.000942,1000,0.001123,0.001162,1000,1.2463928967813542
rbac,80,0.000872,0.000922,1000,0.001593,0.001633,1000,1.826834862385321
rbac,160,0.000921,0.000972,1000,0.002946,0.003016,1000,3.1986970684039084
rbac,320,0.000931,0.000982,1000,0.00523,0.0053,1000,5.617615467239528
abac,5,0.013084,0.013676,1000,0.008576,0.008826,1000,0.6554570467746866
abac,10,0.013825,0.014258499999999999,1000,0.012763,0.013792499999999994,1000,0.9231826401446654
abac,20,0.015188,0.0160505,1000,0.024947,0.02747305,1000,1.6425467474321833
abac,40,0.015289,0.016020999999999997,1000,0.052598,0.056707,1000,3.4402511609653996
abac,80,0.016571,0.0175335,1000,0.0994305,0.1059785,1000,6.00027155874721
abac,160,0.020729,0.022082999999999988,1000,0.2038295,0.21516859999999996,1000,9.83305996430122
abac,320,0.023914,0.024706549999999997,1000,0.4041185,0.44023445,1000,16.898824956092664
acl,5,0.000712,0.0007810499999999999,1000,0.000381,0.000411,1000,0.5351123595505618
acl,10,0.000712,0.000751,1000,0.000471,0.000511,1000,0.6615168539325843
acl,20,0.000732,0.000771,1000,0.000621,0.000662,1000,0.8483606557377049
acl,40,0.000711,0.000742,1000,0.000902,0.000932,1000,1.2686357243319268
acl,80,0.000722,0.000761,1000,0.001483,0.001523,1000,2.054016620498615
acl,160,0.000731,0.000762,1000,0.002615,0.002655,1000,3.577291381668947
acl,320,0.000731,0.000762,1000,0.003667,0.00548145,1000,5.016415868673051
